Time,Source Balance,Environment Balance
1716656821416,999.9999999999999,5.920746933919313e-14
1716656822418,999.9999999999998,1.182969955123719e-13
1716656823420,999.9999999999997,1.7738652168555062e-13
1716656824422,999.9999999999995,2.3647604785872935e-13
1716656825425,999.9999999999994,2.956245456149152e-13
1716656826427,999.9999999999993,3.5471407178809387e-13
1716656827430,999.9999999999992,4.1386256954427967e-13
1716656828432,999.9999999999991,4.729520957174583e-13
1716656829433,999.999999999999,5.319826503076296e-13
1716656830436,999.9999999999989,5.911311480638153e-131716656831450,999.9999999999987,6.509283332330798e-13
1716656832451,999.9999999999986,7.099588878232511e-13
1716656833453,999.9999999999985,7.690484139964295e-13
1716656834454,999.9999999999984,8.280789685866008e-13
1716656835455,999.9999999999983,8.87109523176772e-13
1716656836457,999.9999999999982,9.461990493499503e-13
1716656837459,999.9999999999981,1.0052885755231286e-12
1716656838460,999.999999999998,1.0643191301132997e-12
1716656839462,999.9999999999978,1.123408656286478e-12
1716656840464,999.9999999999977,1.1824981824596561e-121716656841472,999.9999999999976,1.2419415381308774e-12
1716656842474,999.9999999999975,1.3010310643040556e-12
1716656843475,999.9999999999974,1.3600616188942266e-12
1716656844478,999.9999999999973,1.4192101166504119e-12
1716656845479,999.9999999999972,1.4782406712405828e-12
1716656846481,999.999999999997,1.5373301974137608e-12
1716656847482,999.9999999999969,1.5963607520039316e-12
1716656848483,999.9999999999968,1.6553913065941023e-12
1716656849485,999.9999999999967,1.7144808327672803e-12
1716656850487,999.9999999999966,1.7735703589404581e-121716656851491,999.9999999999965,1.8327778282796505e-12
1716656852493,999.9999999999964,1.8918673544528285e-12
1716656853495,999.9999999999962,1.950956880626006e-12
1716656854495,999.9999999999961,2.0099284636331696e-12
1716656855497,999.999999999996,2.0690179898063472e-12
1716656856499,999.9999999999959,2.128107515979525e-12
1716656857501,999.9999999999958,2.1871970421527024e-12
1716656858502,999.9999999999957,2.246227596742873e-12
1716656859503,999.9999999999956,2.3052581513330435e-12
1716656860505,999.9999999999955,2.364347677506221e-121716656861511,999.9999999999953,2.4236730900114274e-12
1716656862513,999.9999999999952,2.482762616184605e-12
